时间,上证指数,上证50,沪深300,中证500,万得全A
2016-07-18,0.021522956858419744,0.020077211375571696,0.0214058738252135,0.027610817038970028,0.028044767351602957
2016-07-19,0.021324265312153385,0.019893491619130923,0.021129754964709428,0.027425239410142084,0.027623361938976226
2016-07-20,0.02126724983271265,0.019885787527988648,0.021064011626089625,0.02713841840083417,0.02740306901493449
2016-07-21,0.021258269214407682,0.019757117271443005,0.02101675839110081,0.027105137359181873,0.027402529624403753
2016-07-22,0.021181681301724084,0.019764627818714162,0.02090719595328843,0.026864267534427635,0.027203617539868045
2016-07-25,0.021179291521235967,0.019762725562505135,0.020901078038439786,0.02682298825879376,0.027189043749626683
2016-07-26,0.02107107252752538,0.019716413557986857,0.020768099734276086,0.026607598475013542,0.026952159249846907
2016-07-27,0.02109373762460955,0.019711666914790996,0.020788794986091454,0.02671076392361235,0.027019089549332694
2016-07-28,0.021088884757513863,0.01971218877851697,0.02078864866897356,0.026697665639355047,0.027004343755701144
2016-07-29,0.02108955450812779,0.01970062435188553,0.020790461902044057,0.026687560314167535,0.02700043975007943
2016-08-01,0.02103386339418695,0.01966294536612664,0.020743025055363167,0.026640467724825315,0.026929121593478825
2016-08-02,0.021025462441385825,0.019633563005627432,0.020718433798740974,0.026634413148314284,0.026915151543318847
2016-08-03,0.020341923486105255,0.01879103110626711,0.0200076147122718,0.026218929190072435,0.026297193172169844
2016-08-04,0.020316575386810823,0.01879031364799459,0.020008257780471692,0.026197791839526422,0.02626101327089623
2016-08-05,0.020194387503826447,0.018753046270489092,0.01990646591761722,0.026012527373643887,0.026082249839873083
2016-08-08,0.020159049937551358,0.018689853278897068,0.019832485013724147,0.025972507446868003,0.026010351343949703
2016-08-09,0.020153481214119993,0.018695553427614857,0.019838113601077092,0.02597198847743823,0.02600722243966727
2016-08-10,0.020142588742108378,0.018689399057694914,0.019838115867646878,0.025929075886051468,0.025961178481217123
2016-08-11,0.020004178463128287,0.01863598693988979,0.019737509170501374,0.025719349704062373,0.025743218312506005
2016-08-12,0.020006641405882812,0.018647837385445964,0.01973466977593253,0.025719210651874283,0.025743454003058205
2016-08-15,0.020061770292788716,0.01873517249395902,0.019821287326736856,0.025758986073589295,0.025796913452430303
2016-08-16,0.020010380520982484,0.018729311050717106,0.019782733758194636,0.025695548710453528,0.025714473955855698
2016-08-17,0.0197595900237886,0.018503193246460468,0.019567934301952916,0.02551493184823896,0.025458746782150942
2016-08-18,0.01975965566015433,0.018493990319297837,0.019566878460502722,0.02551252701219923,0.025457997584104164
2016-08-19,0.01975016531428296,0.018481382236253147,0.019552416260841275,0.025503273098451164,0.025442009082495682
2016-08-22,0.01972071106968685,0.018477126376078384,0.01953454946006187,0.025466306178256883,0.02539987220063234
2016-08-23,0.019720026748708534,0.01847771070180782,0.01953500601922111,0.0254562900756546,0.02539746999498553
2016-08-24,0.019713587648594707,0.018468689154337296,0.019535627322748376,0.02541288564489278,0.02538444331233761
2016-08-25,0.019336563600660214,0.018131289035694068,0.019147639673265125,0.024981577544379747,0.02489073072305098
2016-08-26,0.019319465278035217,0.018121544777545913,0.019119753756254517,0.024942148633089963,0.024845006447826855
2016-08-29,0.0192016035533201,0.01802174355431322,0.019014043726327184,0.024848218751627626,0.024728744301875247
2016-08-30,0.019014058103698356,0.01787655451262283,0.018794692609437665,0.024613542296845245,0.024444502886863076
2016-08-31,0.018241406009470953,0.01685423763564754,0.017960226004669934,0.02409277561042007,0.02365498472301983
2016-09-01,0.017592327719372584,0.016253178032281934,0.01738930113076378,0.0236252818732895,0.022995591347600722
2016-09-02,0.017573076449395562,0.016230061594301022,0.01738617565362311,0.023505229575861777,0.022913833514762415
2016-09-05,0.017247375132782752,0.015461869019988275,0.01697856157457826,0.023405200414271736,0.022651577918882792
2016-09-06,0.016979105823961397,0.015338145954521737,0.01676982332411388,0.023118038409681973,0.02230630377066872
2016-09-07,0.016971288705611275,0.015268062481220923,0.016763789948769845,0.022989842408922684,0.02226180373826779
2016-09-08,0.016953556641063443,0.015257771308021648,0.01676357163626323,0.0226418814950915,0.02210555077334701
2016-09-09,0.016956716161552764,0.01525475859831442,0.01676857602111907,0.02264137640493212,0.022078190108038992
2016-09-12,0.016921596378906598,0.01495873242320084,0.01666051938857561,0.022710717109994668,0.022125235336297733
2016-09-13,0.01682002333024416,0.014898322546810826,0.01658142947359493,0.022588560938100646,0.02196340867875844
