时间,上证指数
2014-03-13,0.8903910558672757
2014-03-14,0.8903910558672757
2014-03-17,0.8903910558672757
2014-03-18,0.8903910558672757
2014-03-19,0.8903910558672757
2014-03-20,0.8903910558672757
2014-03-21,0.8903910558672757
2014-03-24,0.8903910558672757
2014-03-25,0.8903910558672757
2014-03-26,0.8903910558672757
2014-03-27,0.8903910558672757
2014-03-28,0.8903910558672757
2014-03-31,0.8903910558672757
2014-04-01,0.8903910558672757
2014-04-02,0.8903910558672757
2014-04-03,0.8903910558672757
2014-04-04,0.8969823917294593
2014-04-08,0.9141711004194402
2014-04-09,0.917200352732862
2014-04-10,0.9298623921381525
2014-04-11,0.9282251233054413
2014-04-14,0.9286594918595161
2014-04-15,0.9156162363210107
2014-04-16,0.917150250041068
2014-04-17,0.9144329414435113
2014-04-18,0.9139375783081221
2014-04-21,0.9000299424172753
2014-04-22,0.9030818498608998
2014-04-23,0.9007078536210268
2014-04-24,0.8961990470351494
2014-04-25,0.8872615981702654
2014-04-28,0.8728703623847117
2014-04-29,0.8802132386238046
2014-04-30,0.8828346985935818
2014-05-05,0.8832681957964948
2014-05-06,0.8835666335693546
2014-05-07,0.8757440785157818
2014-05-08,0.8780056704558038
2014-05-09,0.8762024092268015
2014-05-12,0.8943857652677882
2014-05-13,0.893452112498097
2014-05-14,0.8922243787113542
2014-05-15,0.8822317235897308
2014-05-16,0.882898307228381
2014-05-19,0.8736092681697776
2014-05-20,0.8748884116750568
2014-05-21,0.882221703051372
2014-05-22,0.8806245163720963
2014-05-23,0.8864120307876718
2014-05-26,0.8894212420243763
2014-05-27,0.8864102880853486
2014-05-28,0.8932342747076885
2014-05-29,0.8890374118376764
2014-05-30,0.8884348725094062
2014-06-03,0.8880397147576051
2014-06-04,0.8821707290084166
2014-06-05,0.8891607080270477
2014-06-06,0.8844022593333623
2014-06-09,0.8846401382004885
2014-06-10,0.8942380712458915
2014-06-11,0.8952906634491457
2014-06-12,0.8938812529452022
2014-06-13,0.9021599603318905
2014-06-16,0.9088118550998076
2014-06-17,0.9004098515237476
2014-06-18,0.8955394342057921
2014-06-19,0.8955394342057921
2014-06-20,0.8955394342057921
2014-06-23,0.8955394342057921
2014-06-24,0.8955394342057921
2014-06-25,0.8955394342057921
2014-06-26,0.8955394342057921
2014-06-27,0.8955394342057921
2014-06-30,0.8955394342057921
2014-07-01,0.8955394342057921
2014-07-02,0.8955394342057921
2014-07-03,0.8955394342057921
2014-07-04,0.8955394342057921
2014-07-07,0.8957794768243933
2014-07-08,0.8975597929123512
2014-07-09,0.8865104398398244
2014-07-10,0.8863930276894217
2014-07-11,0.8901410844461658
2014-07-14,0.8987012999301555
2014-07-15,0.9003150647084681
2014-07-16,0.8989752616144283
2014-07-17,0.8938939246608891
2014-07-18,0.89540549738237
2014-07-21,0.8934103605451565
2014-07-22,0.9025432864072217
2014-07-23,0.903851344734671
2014-07-24,0.9154068746333782
2014-07-25,0.9247789733944117
2014-07-28,0.9471020672046794
2014-07-29,0.9493824720813896
2014-07-30,0.9485349302994086
2014-07-31,0.9573708469069364
2014-08-01,0.9503004611536122
2014-08-04,0.9668373102481085
2014-08-05,0.9653648749100953
2014-08-06,0.9642864225656556
2014-08-07,0.9513293394789928
2014-08-08,0.9542672523979583
2014-08-11,0.9674126297850814
2014-08-12,0.9660823936070002
2014-08-13,0.966639883891505
2014-08-14,0.9595033994461022
2014-08-15,0.9683171382029983
2014-08-18,0.9738537733842101
2014-08-19,0.9764037913470304
2014-08-20,0.9741777439473583
2014-08-21,0.969936556158923
2014-08-22,0.9744390946969583
2014-08-25,0.9694216821364162
2014-08-26,0.9597817097285383
2014-08-27,0.9608075440352049
2014-08-28,0.9548730121220728
2014-08-29,0.964171184714334
2014-09-01,0.9721339028107189
2014-09-02,0.9854123473016317
2014-09-03,0.9952319168136444
2014-09-04,1.00316158556399
2014-09-05,1.011671792169104
2014-09-09,1.0117131038516531
2014-09-10,1.0081376864419827
2014-09-11,1.0052563052991372
2014-09-12,1.0140713486354822
2014-09-15,1.0171979907147246
2014-09-16,0.9986794854373207
2014-09-17,1.0036099260346014
2014-09-18,1.0071040246586225
2014-09-19,1.0129846339545328
2014-09-22,0.9957707081260477
2014-09-23,1.0044035451993605
2014-09-24,1.019126594000043
2014-09-25,1.019791059799359
2014-09-26,1.0209282182189996
2014-09-29,1.0252737723633485
2014-09-30,1.027952073971979
2014-10-08,1.0361813611357593
2014-10-09,1.039041434147606
2014-10-10,1.0325920282119672
2014-10-13,1.0288822391190582
2014-10-14,1.0260408650793127
2014-10-15,1.0322137001717806
2014-10-16,1.024746722265985
2014-10-17,1.018086844179254
2014-10-20,1.0248463051639192
2014-10-21,1.0174228132397543
